,observation,species,exchange_num,clip_type,start_flight,start_timestamp,end_flight,end_timestamp,any_resting,any_foraging,any_alert,any_traveling,any_fleeing,group_resting,group_foraging,group_alert,group_traveling,group_fleeing
,ob103,imp,ob103-2,post,3,3:18,3,5:18,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob105,buf,ob105-1,post,2,4:15,2,6:15,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob106,imp,ob106-1,post,2,3:14,2,5:14,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ob085,ob107,imp,ob107-1,post,2,3:13,2,5:13,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob085,ob107,imp,ob107-2,post,3,3:26,3,5:26,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob085,ob110,pz,ob110-2,post,3,6:13,3,8:13,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ob087,ob110,pz,ob110-3,post,4,6:19,4,8:19,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob087,ob111,imp,ob111-1,post,2,4:16,2,6:16,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob087,ob111,imp,ob111-2,post,3,3:40,3,5:40,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob087,ob112,imp,ob112-1,post,2,4:32,2,6:32,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ob087,ob114,gz,ob114-1,post,2,3:51,2,5:51,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob087,ob114,pz,ob114-1,post,2,3:51,2,5:51,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
