flight,flight_type,launchtime_vid,gimbaldown_vid,gohome_vid,landed_vid,exclude,exclude_log,note,launchtime_log,gimbaldown_log,gohome_log,landed_log,landed_log_type,offset,max_discrep,mean_discrep,max_discrep_point
060-01,initial,7000.0,78000.0,240000.0,374000.0,,True,,,,,,,,,,
061-01,initial,8000.0,114000.0,1215000.0,1319000.0,,,,5400.0,111200.0,1211300.0,1316400.0,rc_throttle_1024,2666.6666666666665,1033.3333333332557,324.99999999999864,home
061-02,replacement,,,909000.0,1014000.0,,,video started when drone was already over group - check how long drone was in place before video started,4900.0,101100.0,1044100.0,1149500.0,ascent_m_0,-135300.0,200.0,200.0,home
061-03,replacement,9000.0,90000.0,1235000.0,1327000.0,,,,4600.0,87300.0,1228600.0,1322100.0,ascent_m_0,4650.0,1950.0,1050.0,gimbal
062-01,initial,9000.0,114000.0,1097000.0,1209000.0,,,,6800.0,111200.0,1093400.0,1207200.0,ascent_m_0,2500.0,1100.0,600.0,home
062-02,replacement,,,985000.0,1098000.0,,,video started when drone was already over group - check how long drone was in place before video started,4500.0,63100.0,1100800.0,1214800.0,ascent_m_0,-116300.0,500.0,500.0,home
062-03,replacement,,126000.0,383000.0,484000.0,,,unclear if gimbal is actually fully down at 2:06 - no gimbal down point found in log,4800.0,,389700.0,490700.0,ascent_m_0,-6700.0,0.0,0.0,home
063-01,initial,3000.0,109000.0,1194000.0,1296000.0,,,,9400.0,115100.0,1198700.0,1302400.0,ascent_m_0,-6300.0,1600.0,500.0,home
063-02,replacement,11000.0,130000.0,1150000.0,1248000.0,,,gimbal may be down at 1:57 - hard to say since it was malfunctioning; 2:10 seems to line up well with the log.,4600.0,123300.0,1142000.0,1241500.0,ascent_m_0,6600.0,1400.0,450.0,home
063-03,replacement,2000.0,66000.0,1115000.0,1230000.0,,,,5500.0,69400.0,1117300.0,1234000.0,ascent_m_0,-3450.0,1150.0,450.0,home
064-01,initial,20000.0,126000.0,1179000.0,1303000.0,,,,4900.0,112200.0,1161800.0,1287400.0,ascent_m_0,15350.0,1850.0,975.0,home
064-02,replacement,,75000.0,925000.0,1050000.0,,,,6000.0,146800.0,994900.0,1121500.0,ascent_m_0,-71500.0,1600.0,633.3333333333334,home
064-03,replacement,8000.0,122000.0,1098000.0,1248000.0,,,,4300.0,118200.0,1092900.0,1250000.0,ascent_m_0,3750.0,5750.0,1800.0,land
065-01,initial,,,1000000.0,1118000.0,,,,14800.0,18100.0,1020300.0,1139500.0,ascent_m_0,-20900.0,600.0,600.0,home
065-02,replacement,,133000.0,909000.0,1033000.0,,,,5900.0,141900.0,916700.0,1041400.0,ascent_m_0,-8400.0,700.0,400.0,home
065-03,replacement,7000.0,108000.0,1060000.0,1178000.0,,,,5000.0,106200.0,1056000.0,1175100.0,ascent_m_0,2450.0,1550.0,775.0,home
066-01,initial,4000.0,220000.0,1086000.0,1216000.0,,,,12200.0,227500.0,1092000.0,1223500.0,ascent_m_0,-7500.0,1500.0,550.0,home
066-02,replacement,9000.0,90000.0,1029000.0,1155000.0,,,,4800.0,85500.0,1022900.0,1149500.0,ascent_m_0,5000.0,1100.0,725.0,home
066-03,replacement,,,1051000.0,1140000.0,,,video started when drone was already over group - check how long drone was in place before video started,6400.0,10600.0,1196700.0,1287300.0,ascent_m_0,-146500.0,800.0,800.0,home
