flight,clip_type,clip_start_vid,clip_start_log,launch_lat,launch_lon,launch_alt,clip_start_lat,clip_start_lon,clip_start_ascent,launch-group_bear
050-01,first,119000.0,116750.0,0.307985358990954,36.8793943399502,1768.36980758782,0.313132594375532,36.8814391550739,85.7000027424,21.798250153567288
050-02,first,272000.0,270650.0,0.307992690791099,36.8793975366782,1768.3284256864945,0.313014297282859,36.8815186192281,75.4000024128,23.03672526901345
050-03,first,192000.0,190000.0,0.307990550017446,36.8793972714031,1768.33855758682,0.313460350402221,36.8827189828679,75.4000024128,31.440175611241433
051-01,first,246000.0,242650.0,0.328584987794418,36.9070597349705,1633.860525883528,0.324369558864305,36.9060824529819,75.7000024224,193.13727474926898
051-02,first,208000.0,205800.0,0.328597770489691,36.9070623549475,1633.8342807826832,0.322765331695525,36.9046033156986,85.1000027232,202.99874194126215
052-01,first,81000.0,79250.0,0.345830284622497,36.9133784188207,1644.590140526872,0.343432105018797,36.9115787291431,75.500002416,217.07045574049422
052-02,first,22000.0,146850.0,0.345826891374689,36.9133927225511,1644.4735633231562,0.343447090499044,36.9115234310121,75.3000024096,218.33559896618246
053-01,first,79000.0,76800.0,0.356510412930327,36.9195166567428,1677.4210741774666,0.354606948815424,36.9193182563128,96.8000030976,185.99022071008352
053-02,first,120000.0,119050.0,0.356510615836732,36.919533111814,1677.2434618717928,0.354408361158659,36.9192669486158,95.90000306880002,187.2637111070374
054-03,first,196000.0,194900.0,0.354651255378706,36.8975872578746,1770.50786915625,0.351664484484156,36.8980942645111,105.7000033824,170.30231557244568
