observation,flight,flight_type,site,species,clip_type,group_size_spp,group_size_total,young_present,any_resting,any_foraging,any_alert,any_traveling,any_fleeing,group_resting,group_foraging,group_alert,group_traveling,group_fleeing,note,exclude,score_order_BC,randassign_SL,score_order_SL
ob029,029-01,initial,mpala,imp,first,58,58,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,video started when drone was already over group - check how long drone was in place before video started,,51,52,403
ob029,029-01,initial,mpala,imp,second,58,58,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,308,61,3240
ob029,029-02,replacement,mpala,imp,first,55,55,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,203,71,750
ob029,029-02,replacement,mpala,imp,second,57,57,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,387,14,2748
ob030,030-01,initial,mpala,imp,first,7,7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,200,49,2251
ob030,030-01,initial,mpala,imp,second,7,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,287,91,339
ob030,030-02,replacement,mpala,imp,first,7,7,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,53,10,578
ob030,030-02,replacement,mpala,imp,second,7,7,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,423,72,3068
ob031-032,031-032-01,initial,mpala,imp,first,5,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,27,51,3125
ob031-032,031-032-01,initial,mpala,imp,second,5,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,460,83,1463
ob031-032,031-032-02,replacement,mpala,imp,first,5,11,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"some walking, but appears to be displacement by eland",,52,100,220
ob031-032,031-032-02,replacement,mpala,eland,first,6,11,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,52,100,220
ob031-032,031-032-02,replacement,mpala,imp,second,5,11,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,229,88,3785
ob031-032,031-032-02,replacement,mpala,eland,second,6,11,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,229,88,3785
ob031-032,031-032-03,replacement,mpala,imp,first,2,8,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,171,22,56
ob031-032,031-032-03,replacement,mpala,eland,first,6,8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,171,22,56
ob031-032,031-032-03,replacement,mpala,eland,second,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,clip falls after scare,TRUE,NAN,NAN,NAN
ob033,033-01,initial,mpala,pz,first,27,27,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,91,65,2469
ob033,033-01,initial,mpala,pz,second,28,28,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,418,76,1524
ob033,033-02,replacement,mpala,pz,first,30,30,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"walking, but graze-walking, not flight",,18,66,3696
ob033,033-02,replacement,mpala,pz,second,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,clip falls during scare,TRUE,NAN,NAN,NAN
ob034,034-01,initial,mpala,pz,first,14,18,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,first gimbal down is before camera was turned on,,141,14,3657
ob034,034-01,initial,mpala,imp,first,4,18,FALSE,NAN,NAN,TRUE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Leave/enter frame due to drone movement,,141,14,3657
ob034,034-01,initial,mpala,pz,second,20,20,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,288,53,3558
ob035,035-01,initial,mpala,imp,first,60,60,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,88,1,867
ob035,035-01,initial,mpala,imp,second,59,59,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,426,64,1344
ob036,036-01,initial,mpala,pz,first,10,11,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,,129,66,1946
ob036,036-01,initial,mpala,gz,first,1,11,FALSE,NAN,NAN,TRUE,TRUE,NAN,FALSE,FALSE,FALSE,TRUE,FALSE,,,129,66,1946
ob036,036-01,initial,mpala,pz,second,10,11,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,420,46,3918
ob036,036-01,initial,mpala,gz,second,1,11,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,420,46,3918
ob037,037-01,initial,mpala,eland,first,7,19,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,46,18,2419
ob037,037-01,initial,mpala,pz,first,5,19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,46,18,2419
ob037,037-01,initial,mpala,oryx,first,7,19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,46,18,2419
ob037,037-01,initial,mpala,eland,second,7,19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,244,26,4813
ob037,037-01,initial,mpala,pz,second,5,19,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,244,26,4813
ob037,037-01,initial,mpala,oryx,second,7,19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,244,26,4813
ob037,037-02,replacement,mpala,oryx,first,7,19,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"walking, but graze-walking, not flight. Only flight is in response to harassment by elands",,25,74,576
ob037,037-02,replacement,mpala,pz,first,5,19,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,25,74,576
ob037,037-02,replacement,mpala,eland,first,7,19,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"walking, but graze-walking, not flight. Some running to displace oryx from feeding area.",,25,74,576
ob037,037-02,replacement,mpala,oryx,second,7,18,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,302,25,1194
ob037,037-02,replacement,mpala,pz,second,4,18,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,302,25,1194
ob037,037-02,replacement,mpala,eland,second,7,18,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,302,25,1194
ob038,038-01,initial,mpala,imp,first,23,23,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,78,83,429
ob038,038-01,initial,mpala,imp,second,23,23,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,258,54,90
ob038,038-02,replacement,mpala,imp,first,23,23,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,video started when drone was already over group - check how long drone was in place before video started,,97,100,2094
ob038,038-02,replacement,mpala,imp,second,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,clip falls during scare,TRUE,NAN,NAN,NAN
ob039,039-01,initial,mpala,imp,first,50,50,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,32,22,2994
ob039,039-01,initial,mpala,imp,second,43,43,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,346,34,4793
ob039,039-02,replacement,mpala,imp,first,45,45,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,223,31,643
ob039,039-02,replacement,mpala,imp,second,40,40,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,444,18,3318
ob039,039-03,replacement,mpala,imp,first,49,49,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accidentally engaged GoHome during search for animals,,225,58,3260
ob039,039-03,replacement,mpala,imp,second,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,clip falls during scare,TRUE,NAN,NAN,NAN
ob040,040-01,initial,mpala,gz,first,1,17,FALSE,NAN,NAN,TRUE,NAN,TRUE,NAN,NAN,NAN,NAN,NAN,Leave frame due to animal movement,,65,58,597
ob040,040-01,initial,mpala,imp,first,16,17,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,why no home in drone log?,,65,58,597
ob040,040-01,initial,mpala,imp,second,13,13,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,362,88,954
ob041,041-01,initial,mpala,buf,first,43,43,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,184,92,2918
