observation,flight,flight_type,launch,gimbal_down,prev_drone,gohome,landed,first_clip_start,note,exclude,exclude_log
ob087,087-01,initial,0:03,2:17,NAN,19:45,21:45,2:20,,,
ob087,087-02,replacement,0:14,1:20,NAN,19:44,21:44,2:03,,,
ob087,087-03,replacement,NAN,NAN,NAN,NAN,NAN,NAN,camera malfunction - flight aborted; cannot assess behavior in 1-sec clips,TRUE,TRUE
ob087,087-04,replacement,0:34,1:58,2:43,18:18,20:41,3:04,,,
ob087,087-05,replacement,0:02,1:47,2:37,17:29,20:07,3:04,,,
ob088,088-01,initial,0:13,1:21,NAN,18:42,NAN,1:51,,,
ob088,088-02,replacement,0:09,1:16,2:08,19:46,21:39,2:44,,,
ob088,088-03,replacement,0:22,1:40,3:07,19:03,21:18,3:31,,,
ob089,089-01,initial,0:04,1:44,NAN,19:58,21:46,1:54,,,
ob089,089-02,replacement,NAN,1:15,1:33,16:23,18:37,2:28,,,
ob090,090-01,initial,0:07,1:21,NAN,19:14,20:57,4:57,,,
ob090,090-02,replacement,0:07,1:20,1:39,17:01,NAN,2:17,,,
ob090,090-03,replacement,0:03,1:22,2:26,17:13,19:27,2:53,,,
ob091,091-01,initial,0:06,0:40,NAN,18:40,20:49,2:29,,,
ob092,092-01,initial,0:08,1:42,NAN,16:19,17:57,3:29,,,
ob093,093-01,initial,0:04,2:07,NAN,16:24,18:24,2:34,,,
ob093,093-02,replacement,0:02,1:30,1:56,16:57,18:39,2:26,,,
ob093,093-03,replacement,0:17,1:13,2:03,17:55,19:35,2:09,,,
ob094,094-01,initial,0:14,2:01,NAN,17:26,19:45,2:18,,,
ob094,094-02,replacement,0:09,2:23,3:17,19:41,21:58,3:54,,,
ob094,094-03,replacement,0:07,1:17,NAN,17:09,19:31,5:13,,,
ob094,094-04,replacement,0:03,1:26,1:53,16:24,18:51,2:34,,,
ob095,095-01,initial,0:16,1:47,NAN,15:46,17:41,1:53,,,
ob095,095-02,replacement,0:28,1:50,2:16,15:25,17:00,2:50,,,
ob096,096-01,initial,0:12,1:55,NAN,14:43,17:17,2:16,,,
ob096,096-02,replacement,0:27,2:07,2:29,18:15,20:46,3:01,,,
ob097,097-01,initial,0:21,1:06,NAN,15:14,18:36,2:50,,,
ob098,098-01,initial,NAN,0:34,NAN,16:09,20:02,1:45,,,
ob099,099-01,initial,0:19,3:18,NAN,17:02,19:49,3:46,,,
ob100,100-01,initial,0:16,1:50,NAN,16:38,19:53,2:20,,,
ob101,101-01,initial,0:03,0:35,NAN,21:03,22:51,4:05,,,
ob101,101-02,replacement,NAN,1:01,NAN,17:56,19:48,4:04,,,
ob101,101-03,replacement,0:06,4:45,2:23,18:33,20:44,2:41,,,
ob102,102-01,initial,0:42,1:50,NAN,20:10,NAN,2:25,,,
ob102,102-02,replacement,0:03,2:07,NAN,19:25,20:52,5:11,,,
ob103,103-01,initial,0:07,1:19,NAN,17:18,18:54,2:27,,,
ob103,103-02,replacement,0:07,1:08,1:33,17:49,19:30,1:59,,,
ob103,103-03,replacement,0:03,1:17,1:37,18:59,20:55,2:10,,,
ob104,104-01,initial,0:06,1:35,NAN,16:52,NAN,2:09,,,
ob104,104-02,replacement,NAN,NAN,0:42,15:11,17:29,2:36,video started when drone was already over group - check how long drone was in place before video started,,
ob104,104-03,replacement,NAN,1:49,1:56,17:56,NAN,2:24,,,
ob105,105-01,initial,0:07,1:51,NAN,18:36,20:36,2:16,,,
ob105,105-02,replacement,0:12,0:28,2:15,19:05,21:02,3:35,,,
ob106,106-01,initial,1:50,2:52,NAN,18:07,19:43,2:58,,,
ob106,106-02,replacement,0:05,1:02,1:38,18:41,NAN,2:18,,,
ob106,106-03,replacement,0:06,1:18,1:43,13:26,15:01,2:01,,,
ob107,107-01,initial,0:10,3:23,NAN,17:22,18:55,4:54,,,
ob107,107-02,replacement,0:06,1:00,1:40,17:20,18:57,2:06,,,
ob107,107-03,replacement,0:07,1:11,1:49,18:59,20:41,2:07,,,
ob108,108-01,initial,0:02,2:43,NAN,17:19,NAN,2:58,,,
ob109,109-01,initial,0:02,2:21,NAN,19:08,21:30,4:04,,,
ob109,109-02,replacement,0:06,NAN,NAN,19:02,21:32,6:01,,,
ob110,110-01,initial,0:03,2:22,NAN,17:29,20:20,2:38,,,
ob110,110-02,replacement,0:16,2:18,NAN,15:48,18:54,2:42,,,
ob110,110-03,replacement,0:12,2:32,3:07,15:07,18:19,3:36,,,
ob110,110-04,replacement,0:29,2:27,3:06,19:04,21:22,3:46,,,
ob111,111-01,initial,0:15,1:20,NAN,18:42,20:25,1:27,,,
ob111,111-02,replacement,0:51,2:04,2:33,19:26,21:09,3:12,,,
ob111,111-03,replacement,0:09,1:28,1:57,15:24,NAN,2:27,,,
ob112,112-01,initial,NAN,2:10,NAN,15:51,17:52,2:19,,,
ob112,112-02,replacement,0:48,2:03,2:31,19:13,21:21,3:39,,,
ob113,113-01,initial,0:06,0:54,NAN,16:43,18:38,0:57,,,
ob113,113-02,replacement,0:12,1:11,1:33,16:39,NAN,2:00,,,
ob114,114-01,initial,0:25,0:32,NAN,17:47,19:35,3:23,,,
ob114,114-02,replacement,0:08,1:32,2:03,17:25,19:14,2:39,,,
ob114,114-03,replacement,0:06,1:32,2:08,17:43,19:56,2:34,,,
ob115,115-01,initial,0:38,3:39,NAN,16:49,NAN,3:41,,,
ob115,115-02,replacement,0:13,2:19,3:17,17:51,21:23,3:44,,,
ob115,115-03,replacement,0:24,2:59,4:10,16:48,NAN,4:45,,,
