observation,site,date,flight,species,group_size_spp,group_size_total,young_present,group_behavior,obs_ascent,launch_dist,approach_speed_mean,approach_speed_max,approach_duration_minutes,exchange_duration,takeoff_time,landing_time,clip_start_ascent_adj,bushiness_100m,max_windspeed,mean_windspeed,temperature_c,wind_speed_ms,cloud_cover_%,humidity_%,group_downwind,other_spp
ob080,mpala,4/5/18,080-01,imp,44.0,44.0,True,0.0,30.500000976,657.4510711276953,35.2498275334532,48.743959645384,1.14,,04:40:12,04:59:49,74.500000976,0.0943109016318978,4.49,3.631578947368421,16.5,0.7,90,78,True,False
ob081,mpala,4/5/18,081-01,pz,5.0,19.0,False,1.0,80.500002576,339.5995959870588,15.98630511261378,32.075973444636,1.39,,05:45:35,06:07:11,81.500002576,0.0178892855829762,6.19,5.306470588235294,18.4,0.8,82,69,True,True
ob082,mpala,4/5/18,082-01,pz,27.0,27.0,True,1.0,90.3000028896,561.7390658974481,15.389286870264783,46.907961165388,2.6,,06:56:46,07:16:48,91.3000028896,0.0020955596850676,3.95,1.868,20.6,0.3,61,60,False,False
ob083,mpala,4/6/18,083-01,gz,9.0,9.0,False,1.0,85.500002736,619.1449105255851,24.01669908405461,48.923959496364,1.6933333333333334,,05:37:32,05:58:29,76.500002736,0.0049781887941128,7.84,6.234999999999999,18.3,0.5,92,74,False,False
ob084,mpala,4/6/18,084-01,imp,11.0,11.0,True,0.0,76.7000024544,297.5021267543979,9.656833934396603,46.943961135584,6.039166666666667,,06:47:37,07:05:14,78.7000024544,0.1748061795971429,3.85,3.29875,20.8,0.6,85,64,False,False
ob085,mpala,4/6/18,085-01,buf,31.0,31.0,True,1.0,95.7000030624,358.8659968919265,15.766506947073276,39.95996691756,1.5208333333333333,,12:03:57,12:26:34,90.7000030624,0.1030509016920442,7.1,5.850434782608696,24.1,4.1,74,53,False,False
ob086,mpala,4/6/18,086-01,gz,10.0,44.0,False,0.0,75.10000240320001,341.0322570451453,28.67214647539482,48.635959734796,0.7125,,13:18:36,13:33:30,78.10000240320001,0.2853751740132845,8.03,7.050909090909091,22.9,4.1,85,58,False,True
ob086,mpala,4/6/18,086-01,imp,25.0,44.0,True,0.0,75.10000240320001,341.0322570451453,28.67214647539482,48.635959734796,0.7125,,13:18:36,13:33:30,78.10000240320001,0.2853751740132845,8.03,7.050909090909091,22.9,4.1,85,58,False,True
ob087,mpala,4/7/18,087-01,gz,15.0,16.0,True,0.0,75.0000024,504.9570421761738,22.53154766215607,45.323962476764,1.6125,,05:25:09,05:46:52,99.0000024,0.200665592229058,5.23,4.110454545454546,17.9,0.5,85,80,True,True
ob087,mpala,4/7/18,087-01,imp,1.0,16.0,False,,75.0000024,504.9570421761738,22.53154766215607,45.323962476764,1.6125,,05:25:09,05:46:52,99.0000024,0.200665592229058,5.23,4.110454545454546,17.9,0.5,85,80,True,True
